#key	name	year	genre	developer	players
005	005	1981	Action/Action / Labyrinth/Shooter Small	SEGA	1-2
10yard	10-Yard Fight	1984	Sports/Sports / Football (American)	Irem	1-2
11beat	Eleven Beat	1998	Sports	Hudson Soft	1-2
18wheelr	18 Wheeler: American Pro Trucker	2000	Racing, Driving	SEGA	1
1941	1941: Counter Attack	1990	Shoot'em Up / Vertical/Shoot'em Up	Capcom	1-2
1942	1942	1984	Shoot'em Up / Vertical/Shoot'em Up	Capcom	1-2
1943	1943 : The Battle Of Midway	1987	Shoot'em Up / Vertical/Shoot'em Up	Capcom	1-2
1943kai	1943 Kai : Midway Kaisen	1987	Shoot'em Up / Vertical/Shoot'em Up	Capcom	1-2
1943mii	1943 : The Battle Of Midway Mark II	1987	Shoot'em Up/Shoot'em Up / Vertical	Capcom	1-2
1944	1944 : The Loop Master	2000	Shoot'em Up/Shoot'em Up / Vertical	Eighting	1-2
1945kiii	1945k III	2000	Shoot'em Up / Vertical/Shoot'em Up	Promat	1-2
19xx	19XX : The War Against Destiny	1996	Shoot'em Up/Shoot'em Up / Vertical	Capcom	1-2
1on1gov	1 On 1 Government	2000	Sports/Sports / Basketball	Tecmo	1-2
2020bb	2020 Super Baseball	1991	Sports / Baseball/Sports	Pallas	1-2
20pacgal	Ms. Pac-man/Galaga - 20th Anniversary Class of 1981 Reunion	2000	Compilation	General Computer Corporation	1-2
25pacman	Pac-man - 25th Anniversary Edition	2006	Action / Labyrinth/Compilation/Action	Namco	1-2
280zzzap	Datsun 280 Zzzap	1976	Racing, Driving/Racing FPV	Midway	1
39in1	39 In 1 Mame Bootleg	2004	Compilation	bootleg	1-2
3bagfull	3 Bags Full	1996	Casino/Casino / Slot machine	Aristocrat	1
3cdpoker	3 Cards Poker 96	1995	Casino / Cards/Casino	Armaly Labs	1
3countb	3 Count Bout	1993	Sports / Wrestling/Fighting / 2D/Sports/Fighting	SNK	1-2
3in1mbc	Gunstar Heroes / Snake Rattle n' Roll / Joe & Mac (Conny bootleg of Mega Drive versions)	1995	Platform		1-2
3in1semi	New HyperMan	1998	Compilation	SemiCom	1-2
3kokushi	Sankokushi	1996	Adults/Mahjong/Asiatic board game/Puzzle/Puzzle / Equalize		1-2
3on3dunk	3 On 3 Dunk Madness	1996	Sports/Sports / Basketball	Video System	1-4
3stooges	The Three Stooges In Brides Is Brides	1984	Shooter	Mylstar Electronics	1-3
3super8	3 Super 8		Casino / Cards/Casino		
3wonders	Three Wonders	1991	Platform / Shooter Scrolling/Compilation/Platform	Capcom	1-2
3x3puzzl	3x3 Puzzle	1998	Adults/Puzzle/Puzzle / Equalize	Ace Enterprise	1-2
40love	Forty-love	1984	Sports/Sports / Tennis	Taito	1-2
4dwarrio	4-D Warriors	1985	Shoot'em Up / Horizontal/Shoot'em Up	Coreland	1-2
4enraya	4 En Raya	1990	Puzzle/Puzzle / Equalize	IDSA	1-2
4in1	4 Fun In 1	1981	Compilation	Armenia	1-2
4in1boot	Puzzle King (Dance & Puzzle)	1998	Puzzle	Eolith	1-2
4jokers	ZZZ(notgame):Four Jokers				
4psimasy	Mahjong 4p Simasyo	1994	Adults/Asiatic board game/Mahjong		1
500gp	500 Gp	1998	Racing, Driving/Motorcycle race TPV	Namco	
5acespkr	5-aces Poker	1985	Casino/Casino / Cards		1
5clown	Five Clown	1993	Casino/Casino / Cards	IGS	1
64street	64th. Street - A Detective Story	1991	Beat'em Up/Fighting/Fighting / 2.5D	C.P. Brain	1-2
720	720°	1986	Sports/Sports / Skateboard	Atari	1-2
7jigen	7jigen No Youseitachi - Mahjong 7 Dimensions	1990	Asiatic board game/Mahjong		1
7mezzo	7 E Mezzo	1985	Casino/Casino / Cards		1
7ordi	7 Ordi	2002	Casino/Casino / Cards	Yun Sung	1
7smash	7 Smash	1993	Casino/Casino / Slot machine	Sovic	1
88games	'88 Games	1988	Action/Sports / Multisports/Sports/Sports / Running trails	Konami	1-2
8ball	Video Eight Ball	1982	Sports / Pool/Sports	Century Electronics	1-2
8ballact	Eight Ball Action	1984	Sports / Pool/Sports/Sports / Swimming	Seatongrove	1-2
9ballsht	9 Ball Shootout	1993	Sports / Pool/Sports	E-Scape EnterMedia	1-2
a51site4	Area 51: Site 4	1998	Shooter/Lightgun Shooter	Atari	1-2
aafb	All American Football	1989	Sports/Sports / Football (American)	Leland	1-4
abaseb	Atari Baseball	1979	Sports/Sports / Baseball	Atari	1-2
abcheck	Abnormal Check	1996	Quiz / Japanese/Quiz	Namco	1-3
abcop	A.B. Cop	1990	Racing, Driving/Motorcycle race TPV	SEGA	1
abnudge	Animal Bonus Nudge	2003	Casino/Casino / Slot machine	Amcoe	1
abunai	Abunai Houkago - Mou Matenai	1989	Adults/Asiatic board game/Hanafuda	Green Soft	1
aburner	After Burner	1987	Shooter / Plane, TPV/Shooter	SEGA	1
aburner2	After Burner II	1987	Shooter/Shooter / Plane, TPV	SEGA	1
acchi	Janken Game Acchi Muite Hoi!	1995	Casual Game	Data East	1-4
ace	Ace	1976	Shooter / Plane/Shooter	Allied Leisure	1-2
aceattac	Ace Attacker	1988	Sports/Sports / Volleyball	SEGA	1-4
acedrive	Ace Driver : Racing Evolution	1994	Racing, Driving	Namco	1
acrobatm	Acrobat Mission	1991	Shoot'em Up / Vertical/Shoot'em Up	Taito	1-2
act2000	Action 2000	1999	Casino/Compilation	Amcoe	1
actfancr	Act-Fancer: Cybernetick Hyper Weapon	1989	Platform/Platform / Shooter Scrolling	Data East	1-2
