#name	crc	size	key
005			005
005a			005
10yard			10yard
10yard85			10yard
10yardj			10yard
11beat			11beat
18wheelr			18wheelr
18wheelro			18wheelr
18wheelrt			18wheelr
18wheels			18wheelr
18wheelu			18wheelr
1941			1941
1941j			1941
1941r1			1941
1941u			1941
1942			1942
1942a			1942
1942abl			1942
1942b			1942
1942h			1942
1942iti			1942
1942p			1942
1942w			1942
1943			1943
1943b			1943
1943bj			1943
1943j			1943
1943ja			1943
1943jah			1943
1943kai			1943kai
1943mii			1943mii
1943u			1943
1943ua			1943
1944			1944
1944d			1944
1944j			1944
1944u			1944
1945kiii			1945kiii
1945kiiin			1945kiii
1945kiiio			1945kiii
1945kiiipt			1945kiii
19in1			39in1
19xx			19xx
19xxa			19xx
19xxar1			19xx
19xxb			19xx
19xxd			19xx
19xxh			19xx
19xxj			19xx
19xxjr1			19xx
19xxjr2			19xx
19xxu			19xx
1on1gov			1on1gov
2020bb			2020bb
2020bba			2020bb
2020bbh			2020bb
20pacgal			20pacgal
20pacgalr0			20pacgal
20pacgalr1			20pacgal
20pacgalr2			20pacgal
20pacgalr3			20pacgal
20pacgalr4			20pacgal
25pacman			25pacman
25pacmano			25pacman
280zzzap			280zzzap
280zzzapa			280zzzap
39in1			39in1
3bagfull			3bagfull
3bagfullnz			3bagfull
3bagfullu			3bagfull
3cdpoker			3cdpoker
3cdpokera			3cdpoker
3countb			3countb
3in1mbc			3in1mbc
3in1semi			3in1semi
3in1semia			3in1semi
3kokushi			3kokushi
3on3dunk			3on3dunk
3stooges			3stooges
3stoogesa			3stooges
3super8			3super8
3wonders			3wonders
3wondersb			3wonders
3wondersbi			3wonders
3wondersh			3wonders
3wondersr1			3wonders
3wondersu			3wonders
3x3puzzl			3x3puzzl
3x3puzzla			3x3puzzl
40love			40love
40lovebl			40love
40lovej			40love
48in1			39in1
48in1a			39in1
48in1b			39in1
48in1c			39in1
4dwarrio			4dwarrio
4enraya			4enraya
4enrayaa			4enraya
4in1			4in1
4in1a			39in1
4in1b			39in1
4in1boot			4in1boot
4psimasy			4psimasy
500gp			500gp
5acespkr			5acespkr
5clown			5clown
5clowna			5clown
5clownsp			5clown
600			turtles
60in1			39in1
64street			64street
64streetj			64street
64streetja			64street
720			720
720g			720
720gr1			720
720r1			720
720r2			720
720r3			720
7jigen			7jigen
7mezzo			7mezzo
7ordi			7ordi
7smash			7smash
7smasha			7smash
7toitsu			mgakuen
800fath			mariner
800fatha			mariner
88games			88games
8ball			8ball
8ball1			8ball
8ballact			8ballact
8ballact2			8ballact
8bpm			8ballact
99lstwar			repulse
99lstwara			repulse
99lstwarb			repulse
99lstwark			repulse
9ballsht			9ballsht
9ballsht2			9ballsht
9ballsht3			9ballsht
9ballshtc			9ballsht
a51mxr3k			area51mx
a51mxr3ka			area51mx
a51site4			a51site4
a51site4a			a51site4
aafb			aafb
aafbb			aafb
aafbc			aafb
aafbd2p			aafb
aafootb			gridiron
abaseb			abaseb
abaseb2			abaseb
abattle			astrof
abattle2			astrof
abcheck			abcheck
abcop			abcop
abcopd			abcop
abcopj			abcop
abcopjd			abcop
ablast			penbros
ablastb			penbros
abnudge			abnudge
abnudgeb			abnudge
abnudged			abnudge
abnudgeo			abnudge
abscam			puckman
abunai			abunai
aburner			aburner
aburner131			aburner
aburner2			aburner2
aburner2g			aburner2
acchi			acchi
ace			ace
aceattac			aceattac
aceattaca			aceattac
acedrive			acedrive
acitya			bwcasino
acombat			astrof
acombat3			astrof
acombat4			astrof
acombato			astrof
acrobatm			acrobatm
acrobatmbl			acrobatm
act2000			act2000
act2000b1			act2000
act2000bx			act2000
act2000d1			act2000
act2000dx			act2000
act2000o			act2000
act2000o2			act2000
act2000o3			act2000
act2000v1			act2000
act2000vx			act2000
actfancr			actfancr
actfancr1			actfancr
actfancr2			actfancr
actfancrj			actfancr
actionhw			actionhw
ad2083			ad2083
adcanoe			adcanoe
adillor			adillor
adillorj			adillor
adpoker			adpoker
aerfboo2			aerofgt
aerfboot			aerofgt
aeroboto			formatz
aerofgt			aerofgt
aerofgtb			aerofgt
aerofgtc			aerofgt
aerofgts			aerofgts
aerofgtst			aerofgts
aerolitol			asteroid
aerolitos			asteroid
afighter			afighter
afightera			afighter
afighterb			afighter
afighterc			afighter
afighterd			afighter
afightere			afighter
afighterf			afighter
afighterg			afighter
afighterh			afighter
afire			astrof
agallet			agallet
agalleta			agallet
agalletah			agallet
agalletaj			agallet
agalletak			agallet
agalletat			agallet
agalletau			agallet
agalleth			agallet
agalletj			agallet
agalletk			agallet
agallett			agallet
agalletu			agallet
agentx1			cloak
agentx2			cloak
agentx3			cloak
agentx4			cloak
agress			agress
agressb			agress
aimode			aimode
ainferno			ainferno
ainfernoj			ainferno
ainfernou			ainferno
airass			airass
airattck			airattck
airattcka			airattck
airbustr			airbustr
airbustrb			airbustr
airbustrj			airbustr
airco22b			airco22b
aircomb			aircomb
aircombj			aircomb
airduel			airduel
airdueljm72			airduel
airduelm72			airduel
airduelu			airduel
airraid			airraid
airtrix			airtrix
airtrixo			airtrix
airwlkrs			airwlkrs
airwolf			airwolf
airwolfa			airwolf
ajax			ajax
ajaxj			ajax
akamaru			akamaru
akamj			akamj
akazukin			akazukin
aking			aking
akiss			akiss
akissa			akiss
akkaarrh			akkaarrh
akkanvdr			spcinv95
akumajou			hcastle
akumajoun			hcastle
aladmdb			aladmdb
albatross			suprgolf
alchemst			alchemst
alcon			alcon
alexkidd			alexkidd
alexkidd1			alexkidd
alibaba			alibaba
alibabab			alibaba
alien3			alien3
alien3j			alien3
alien3u			alien3
alienar			alienar
alienaru			alienar
aliencha			aliencha
alienchac			aliencha
aliencr			aliencr
alienfnt			alienfnt
alienfnta			alienfnt
alieninv			invaders
alieninvp2			invaders
aliens			aliens
aliens2			aliens
aliens3			aliens
aliens4			aliens
aliensa			aliens
aliensec			aliensec
aliensj			aliens
aliensj2			aliens
aliensu			aliens
aliensyn			aliensyn
aliensyn2			aliensyn
aliensyn3			aliensyn
aliensyn5			aliensyn
aliensyn7			aliensyn
aliensynj			aliensyn
aliensynjo			aliensyn
aligator			aligator
aligatorp			aligator
aligators			aligator
aligatorun			aligator
aligatoruna			aligator
alinvade			alinvade
alleymas			upyoural
alpha1v			alpha1v
alphaho			alphaho
alphahob			alphaho
alpham2			alpham2
alpham2p			alpham2
alphamis			aso
alphaone			mhavoc
alphaonea			mhavoc
alphaxz			alphaxz
alpilot			alpilot
alpilotj			alpilotj
alpine			alpine
alpinea			alpine
alpinerc			alpinerd
alpinerd			alpinerd
alpinerjc			alpinerd
alpines			alpines
alpinr2a			alpinr2b
alpinr2b			alpinr2b
altair			altair
altair2			altair2
altbeast			altbeast
altbeast2			altbeast
altbeast4			altbeast
altbeast5			altbeast
altbeast5d			altbeast
altbeast6			altbeast
altbeastbl			altbeast
altbeastbl2			altbeast
altbeastj			altbeast
altbeastj1			altbeast
altbeastj3			altbeast
altbeastj3d			altbeast
amatelas			amazon
amazon			amazon
amazont			amazon
amaztsk			amaztsk
ambush			ambush
ambushh			ambush
ambushj			ambush
ambushv			ambush
amerdart			amerdart
amerdart2			amerdart
amerdart3			amerdart
amerug			atarifb
amidar			amidar
amidar1			amidar
amidarb			amidar
amidarb2			amidar
amidarc			amidar
amidaro			amidar
amidars			amidar
amidaru			amidar
amigo			amidar
amigo2			amidar
ampkr228			ampoker2
ampkr2b1			ampoker2
ampkr2b2			ampoker2
ampkr2b3			ampoker2
ampkr2b4			ampoker2
ampkr2b5			ampoker2
ampkr2jsp			ampoker2
ampkr2jspa			ampoker2
ampkr2jspb			ampoker2
ampkr95			ampoker2
ampoker2			ampoker2
amspdwy			amspdwy
amspdwya			amspdwy
amusco			amusco
androdun			androdun
androidp			androidp
androidpo			androidp
andromed			andromed
angelkds			angelkds
anibonus			anibonus
anibonusb1			anibonus
anibonusb2			anibonus
anibonusd1			anibonus
anibonusd2			anibonus
anibonuso			anibonus
anibonuso2			anibonus
anibonuso3			anibonus
anibonusv1			anibonus
anibonusv2			anibonus
anibonusxo			anibonus
anibonusxo2			anibonus
anibonusxo3			anibonus
animalc			animalc
animalhs			animalhs
animalhsa			animalhs
animaljr			animaljr
animaljrj			animaljr
animaljrs			animaljr
animalw			animalw
animalwbl			animalw
animechmp			animechmp
anithunt			anithunt
anithuntd1			anithunt
anithunto			anithunt
anithunto2			anithunt
anithuntv1			anithunt
anmlbskt			anmlbskt
anmlbskta			anmlbskt
anpanman2			anpanman2
anpanman2a			anpanman2
anteater			anteater
anteaterg			anteater
anteatergg			anteater
anteateruk			anteater
aodk			aodk
aof			aof
aof2			aof2
aof2a			aof2
aof3			aof3
aof3k			aof3
aoh			aoh
apache3			apache3
apache3a			apache3
apache3b			apache3
apb			apb
apb1			apb
apb2			apb
apb3			apb
apb4			apb
apb5			apb
apb6			apb
apbf			apb
apbg			apb
aplarail			aplarail
aplatoon			aplatoon
aponow			rescue
apparel			apparel
apple10			apple10
appoooh			appoooh
aquajack			aquajack
aquajackj			aquajack
aquajacku			aquajack
aquajet			aquajet
aquarium			aquarium
aquariumj			aquarium
aquarush			aquarush
ar_airh			ar_airh
ar_airh2			ar_airh
ar_argh			ar_argh
ar_blast			ar_blast
ar_bowl			ar_bowl
ar_dart			ar_dart
ar_dart2			ar_dart
ar_dlta			ar_dlta
ar_fast			ar_fast
ar_fasta			ar_fast
ar_ldrb			ar_ldrb
ar_ldrba			ar_ldrb
ar_ldrbb			ar_ldrb
ar_ninj			ar_ninj
ar_ninj2			ar_ninj
ar_pm			ar_pm
ar_rdwr			ar_rdwr
ar_sdwr			ar_sdwr
ar_sdwr2			ar_sdwr
ar_socc			ar_socc
ar_spot			ar_spot
ar_sprg			ar_sprg
ar_xeon			ar_xeon
arabfgt			arabfgt
arabfgtj			arabfgt
arabfgtu			arabfgt
arabian			arabian
arabiana			arabian
arabianm			arabianm
arabianmj			arabianm
arabianmu			arabianm
aracnis			scorpion
aracnisa			scorpion
arbalest			arbalest
arcadecl			arcadecl
arcadian			arcadian
archrivl			archrivl
archrivla			archrivl
archrivlb			archrivl
area51			area51
area51a			area51
area51mx			area51mx
area51t			area51
area51ta			area51
area88			unsquad
area88r			unsquad
arescue			arescue
arescuej			arescue
arescueu			arescue
argus			argus
argusg			argusg
arian			aso
arizna10			ampoker2
ark1ball			arkanoid
arkaboot			arkanoid
arkangc			arkanoid
arkangc2			arkanoid
arkanoid			arkanoid
arkanoidj			arkanoid
arkanoidja			arkanoid
arkanoidjb			arkanoid
arkanoidjbl			arkanoid
arkanoidjbl2			arkanoid
arkanoidpe			arkanoid
arkanoidu			arkanoid
arkanoiduo			arkanoid
arkarea			arkarea
arkatayt			arkanoid
arkatour			arkatour
arkatour2			arkatour
arkbloc2			arkanoid
arkbloc3			arkanoid
arkblock			arkanoid
arkgcbl			arkanoid
arkgcbla			arkanoid
arknoid2			arknoid2
