#key	synopsis
005	Agent 005 brings new cash collections to you. His mission is to deliver secret attache cases to an awaiting helicopter. Through wily street chases and the shadows of warehouse darkness to slippery skating rink maneuvers and the blazing aerial getaway fight. Agent 005 steels the scene and delivers customers to you. Fun-filled music attracts them. Four thrilling escape scenes challenge them and the continuous fun keeps them playing and playing. The unique audio and video excitement matches every players skill level.
10yard	The game is viewed in a top-down perspective and is vertical scrolling. The player does not select plays for either offense or defense. On offense, the player simply receives the ball upon the snap and either attempt to run with the quarterback, toss the ball to a running back, or throw the ball to the one long distance receiver - basically the option offense. On defense, the player chooses one of two players to control, and the computer manipulates the others. The ball can also be punted or a field goal can be attempted. 10-Yard Fight has five levels of difficulty; from easiest to most difficult: high school, college, professional, playoff, and Super Bowl. If the player wins both halves of an &quot;accelerated real time&quot; 30-minute half at an easier level, the player advanced to the next level of difficulty, like a career mode.
11beat	This soccer game takes place in a cartoony world with a total of 16 teams featured. You pick your team and then work your way up the tournament ladder scoring more goals than your opponents until you eventually make it to the top. The game is fast-paced and a real blast to play through. It can also be played with a second player, just be sure to hit the Start button on the player 2's controller. In the single player mode each half lasts 1:40 and requires another credit to play the second half of the game. In the two player mode the halves last 2:20 and the game even goes to a shootout mode if you're tied at the end.
18wheelr	A truck driving game from Sega. Race another trucker across the country, carrying cargo and trying to beat the clock. The main purpose is to make it to the finish line with your cargo within a given time. Players choose one of several trucks, each rated in speed, handling, etc. They then race from point to point across the country, hauling cargo (more difficult cargo will increase your pay for that leg of the journey) while avoiding innocent traffic (blare the horn to get drivers out of your way) and trying to outrun a reckless computer opponent (or player two in linked matches). Good performances are rewarded with bonus stages that require players to maneuver the truck in tight alleyways and park the truck in a limited amount of time.
1941	The goal is to shoot down enemy airplanes and collect weapon power-ups (POW). One is only able to perform three loops per level and a bonus is awarded at the end of the level for unused loops. Player 1 uses a P-38 Lightning and Player 2 uses a Mosquito Mk IV. The game shifts from the original Pacific Front setting with that of the Western Front. The game consists of six levels. It was the first shoot 'em up to add +1 to the score when a continue is used.[1]
1942	&quot;1942&quot; is a vertically-scrolling shoot-em-up set in the Pacific theater during World War II, in which the goal is to reach Tokyo and destroy the entire Japanese air fleet. The player pilots a plane, the &quot;Super Ace&quot; and has to shoot down waves of enemy planes while avoiding incoming enemy fire and performing a limited number of rolls to evade enemy planes and shots. During the game, waves of red enemy planes periodically appear. If the player manages to destroy a red wave, a power-up will be dropped and can be picked up to win either increased power (doubling the player's guns from two to four), a smart bomb that destroys all on-screen enemy planes the instant it's collected, two wingmen planes that flank the plane and increase firepower, or simply extra points. At the end of each stage, the 'Super Ace' lands on an aircraft carrier and bonus points are awarded based on player performance. &quot;1942&quot; differs from other games in that its levels are numbered in reverse order.
1943	Set in the Pacific theater of World War II, off the coast of the Midway Atoll. The goal is to attack the Japanese Air Fleet that bombed the players' American aircraft carrier, pursue all Japanese air and sea forces, fly through the 16 levels of play, make their way and destroy the Japanese battleship Yamato. 11 levels consist of an air-to-sea battle (with a huge battleship or an aircraft carrier as an End-Level Boss), while 5 levels consist of an all-aerial battle against a squadron of Japanese bombers and a mother bomber that needs to be destroyed. As in 1942, players pilot a P-38. Two buttons are used: one for regular attacks and one for special actions that executes either a loop or one of three special attacks that damage the plane. Unlike in 1942, the player only has one life, with one refillable energy meter. Destroying a complete formation of red enemy planes will result in a power-up, such as a health boost or a temporary special weapon that replaces the default twin gun.
1943kai	An update of 1943 with tweaked weapons, fewer levels, and a new soundtrack.
1943mii	1943: The Battle of Midway Mark II is an unofficial US version of the 1943 kai. The game appear to be a hack game. The airplane sprites are from 1943kai, but the background is from 1943.
1944	The game takes place in the heated battles of 1944 during the Second World War as a super ace pilot attempts to defeat an entire army. The game operates and plays like most standard shooters. The objective of every level is to shoot enemy planes, tanks, trains, turrets, battleships, and defeat the boss after each level. Unlike its predecessor, 19XX: The War Against Destiny, the game plays more like the early games in the series.
1945kiii	1945kIII is a scrolling shooter arcade video game. It was developed and published by the Korean developer Oriental Software in 2000. In this game, the player controls a fighter and has to shoot as many enemy fighters as possible while the stage is moving forward. There are many bonuses and new weapons available. The gameplay is reminiscent of several 1980s scrolling shooter arcade video games, and is therefore considered a retro game.
19xx	19XX: The War Against Destiny is a vertical scrolling shooter arcade game made by Capcom in 1995 (copyrighted in 1996). The game is the 4th of a series of World War II vertical shooters made by Capcom. The story takes place before a fictional war (Hence, the 19XX) as a lone pilot tries to defeat an entire army/evil organization from starting another World War, which soon escalates to a nuclear apocalypse.
1on1gov	A fun one or two players basketball game. You play one on one street basketball, must using your skills on the court like guard move, dribbling and dunks but including some illegal tactics such as punches and kicks but no foul, is just compete and win the game no matter how!
2020bb	In the year 2020, baseball finally evolved. There is no longer conventional professional baseball in 2020. Baseball designed by the Super Baseball Association has been very popular and is the best sport. However, the truth is that the association has used a colossal sum of money to promote Super Baseball as show business. They have manipulated each player's ability using the control computer to secretly decide victory or defeat in every game. The players who knew this removed the connecting parts of the computer to play their own game of baseball. Finally, a fair game is going to be played at Cyber Egg Stadium. In 2020 Super Baseball is a fast-paced game with new rules, where you can select 1 of 12 individual men, women, or robot players. During play, you can make your team stronger with prizes earned from amazing catches.
20pacgal	Classic Reunion! Class of '81 Two of the Greatest Hits at One Great Price!
25pacman	Limited Edition Pac-Man 25th Anniversary model. Enjoy hours of game play with the 'Greatest Hits' in videogame history - Pac-Man, Ms. Pac-Man and Galaga. LONGEVITY - There are NO other classic titles that have earned so well for over two decades! LIMITED EDITION cabinet Operator Selectable Original or Speedy Pac-Man and Ms. Pac-Man game play. Operator Selectable Original or Rapid Fire Galaga game play
280zzzap	Thrilling action matches skills against tight bends... fast straights... S-curves & more for real driving excitement! Realistic Engine, Crash & Accelerator Sound Effects 3-Dimensional Driving Game with HIgh & Low Gear Shift Constantly Changing Race Course High Score of the Day Feature Adjustable Extended PLay Adjustable Time Control Proven Midway Micro Processor Logic Cards
