#key	synopsis
005	Un jeu d'infiltration de Sega sorti bien avant Metal Gear, quels précurseurs ! Vous jouez le rôle d'un voleur, voir espion qui doit dérober des mallettes au contenu mystérieux. Vous pouvez vous déplacer dans toutes les directions et tirer, ce qui aura pour effet d'assommer vos ennemis, simple et efficace. Vous commencez dans une petite ville qui fait office de sélecteur de mini-jeux, les 2 disponibles sont les suivants: - dans un entrepôt où vous devez esquiver des veilleurs de nuit et leur lampe torche - dans une patinoire (?!?) où vous serez poursuivi par la police Le but de ces mini jeux est de s'échapper en hélicoptère, dès que vous aurez terminé ces 2 niveaux vous aurez accès à une phase où vous dirigerez l'hélico. 7 mallettes à récupérer en tout, courage !
10yard	Le jeu est vu du haut avec un défilement vertical. Le joueur ne sélectionne pas les jeux pour l'attaque ou la défense. En attaque, le joueur reçoit simplement la balle au moment de la frappe et tente de courir avec le quart, lance la balle vers l'arrière, ou lance la balle vers le receveur longue distance - il s'agit essentiellement de l'offensive optionnelle. En défense, le joueur choisit l'un des deux joueurs à contrôler et l'ordinateur gère les autres. Le ballon peut également être frappé ou un but marqué peut être tenté. Le jeu à cinq niveaux de difficulté; du plus facile au plus difficile: lycée, collège, professionnel, séries éliminatoires et Super Bowl. Si le joueur gagne les deux mi-temps d'un &quot;temps réel accéléré&quot; de 30 minutes à un niveau plus facile, le joueur passe au niveau de difficulté suivant, à la manière d'un mode carrière.
11beat	Plongez dans ce jeu de football au style cartoon avec 16 équipes au choix. Progressez dans le tournoi en marquant plus de buts que vos adversaires pour atteindre la première place. Le jeu offre un rythme soutenu et un plaisir immédiat à chaque match. Jouable en solo ou à deux, il suffit d'appuyer sur Start pour activer le joueur 2. En mode solo, chaque mi-temps dure 1 minute 40, et un crédit supplémentaire est nécessaire pour jouer la seconde. En mode deux joueurs, les mi-temps durent 2 minutes 20, et en cas d'égalité, une séance de tirs au but départage les équipes. Avec ses matchs rapides, ses graphismes colorés et ses affrontements compétitifs, ce jeu est un vrai régal pour les amateurs de football et de fun arcade.
18wheelr	Le but principal est d'atteindre la ligne d'arrivée avec votre cargaison dans imparti.Il y a des véhicules spéciaux que vous pouvez percuter ce qui ajoutera trois secondes à votre temps. Ils ressemblent à des vans Chevrolet violet. Après l'étape 1, le jeu donne au joueur un choix de remorque. Une des remorques est plus difficile à transporter mais offre un gain plus important tandis que l'autre est plus facile à transporter, mais fournit un gain moindre. Lorsque la remorque est touchée vous perdez de l'argent.
1941	1941 est la suite directe de 1943 sorti sur la génération précédente de borne. Sur CPS1, capcom nous livre un joli lifting de son shoot à scrolling vertical. Les graphismes n'ont pas vieilli, la variété est au rendez-vous, les décors se renouvellent tout au long des niveaux. 6 petits niveaux seulement, c'est là son principal défaut, le titre se finit assez rapidement, la difficulté n'est pas énorme pour les habitués de shmups. On y revient volontiers le temps d'une petite partie quand on a une vingtaine de minutes libres.
1942	1942 est un shoot'em up vertical pour un ou deux joueurs. Vous êtes un pilote de chasse intrépide, &quot;Super Ace&quot;, vous pilotez votre avion au combat contre l'ennemi sur terre et sur mer. Après avoir détruit certaines formations d'avions, vous pouvez collecter différents bonus pour augmenter votre puissance de feu et vos chances de survie. Vous pouvez également faire des loopings avec votre avion pour éviter les attaques ennemies.
1943	La suite de 1942 fait de nouveau combattre le joueur au-dessus des nuages pendant la Seconde Guerre mondiale, cette fois dans une bataille intense au large des îles Midway. Les mises à jour du gameplay incluent une barre d'énergie, qui peut être épuisée en étant touché par des tirs entrants ou en utilisant une arme spéciale. La barre d'énergie peut être reconstituée en ramassant des bonus, tandis que les armes spéciales (foudre, cyclones et vagues) peuvent abattre tous les chasseurs à l'écran à ce moment-là.&quot;
1943kai	Troisième jeu de la série des 1940. Il s'agit en réalité d'une mise à jour de &quot;1943 : The Battle of Midway&quot; avec pour différences des armes améliorées, moins de niveaux, une nouvelle bande-son et une difficulté accrue. L'avion que vous pilotez n'est pas votre P-38 régulier mais un biplan Boeing Stearman. Les sprites des ennemis ont aussi été modifiés. Cette mise à jour n'est sortie uniquement que dans les salles d'arcade au Japon.
1943mii	1943: The Battle of Midway Mark II est une version US non officielle de 1943 Kai. Le jeu semble être un Hack avec les Sprites de 1943 Kai et les décors de 1943.
1944	Le jeu se déroule pendant la Seconde Guerre mondiale alors qu'un pilote tente de vaincre toute une armée. L'objectif de chaque niveau est de tirer sur les avions ennemis, les chars, les trains, les tourelles, les cuirassés, et de vaincre les boss. Il y a quinze stages dans le jeu.
